Group,Description
Swifties,A group for everything related to TaylorSwift
WinterCollection,"Discussion group winter fashion, winter trends, winter style, outfit inspiration, flared pants"
Winter_buddies,"A group to discuss latest winter fashion, trend and style"
Naruto,This is a place for everything related to the japanese anime Naruto and Boruto series goes here.
RIghtStuffAnime,This is a place for fans to come interact about their love for anime dresses
Bolly_trend,Your hub to discuss fashion and stylistic choices by Indian celebrities & media industries
Bollywood_masala,Your place to discuss Indian celebrites life style and fashion choices
POP_UP,"Checkout excellent Pop Culture Trends, Celebrity Style, Fashion, Clothes, Outfits."
Celebrity_style,Check what the celebrities are wearing and explore celebrity trends.
Kpopfans,"A platform for Korean, kpop, or kdrama fashion enthusiasts to ask questions, share their style, and find inspiration."
kpopcollections,"A plateform for all your kpop inspired dresses needs - show off, ask for help to find a rare item and take part in our monthly collection round-up threads."
Monica,A community dedicated to dressing sense of Monica from the famous 90s sitcom F.R.I.E.N.D.S
Phoebe,A community where we discuss the fashion sense of Phoebe from the famous sitcom F.R.I.E.N.D.S 
Jennifer Connelly fans,A group dedicated to discussing fashion from American actress Jennifer Connelly's movies like once upon a time in America 
Ethenic fashion,"Discussion, links, and ideas for the ethically conscious fashion consumer. "
